id,bpm,key,instrument,progression,Style,filename
1,120,AMinor,Chords,"6,4,6,4",neutral,"1, 120, AMinor, Chords, 6,4,6,4 neutral, Minor.mid"
2,120,AMinor,Chords,"6,4,5,3",Pop,"2, 120, AMinor, Chords, 6,4,5,3, Pop, Minor.mid"
3,120,AMinor,Chords,"6,5,3,4",Sad,"3, 120, AMinor, Chords, 6,5,3,4, Sad, Minor.mid"
4,120,AMinor,Chords,"6,5,4,4",Sad,"4, 120, AMinor, Chords, 6,5,4,4, Sad, Minor.mid"
5,120,AMinor,Chords,"6,5,6,4",Sad,"5, 120, AMinor, Chords, 6,5,6,4, Sad, Minor.mid"
6,120,AMinor,Chords,"4,5,6,4",Sad,"6, 120, AMinor, Chords, 4,5,6,4, Sad, Minor.mid"
7,120,AMinor,Chords,"4,5,6,6",Sad,"7, 120, AMinor, Chords, 4,5,6,6, Sad, Minor.mid"
8,120,AMinor,Chords,"4,6,5,6",Sad,"8, 120, AMinor, Chords, 4,6,5,6, Sad, Minor.mid"
9,120,AMinor,Chords,"4,6,5,5",Sad,"9, 120, AMinor, Chords, 4,6,5,5, Sad, Minor.mid"
10,120,AMinor,Chords,"2,4,6,5",Pop,"10, 120, AMinor, Chords, 2,4,6,5, Pop, Minor.mid"
11,120,AMinor,Chords,"4,6,5,4",Sad,"11, 120, AMinor,Chords, 4,6,5,4, Sad, Minor.mid"
12,120,AMinor,Chords,"6,6,2,2",Dark,"12, 120, AMinor,Chords, 6,6,2,2, Dark, Minor.mid"
13,120,AMinor,Chords,"6,2,6,2",Dark,"13, 120, AMinor,Chords, 6,2,6,2, Dark, Minor.mid"
14,120,AMinor,Chords,"6,6,6,6",Dark,"14, 120, AMinor,Chords, 6,6,6,6, Dark, Minor.mid"
15,120,AMinor,Chords,"2,6,2,6",Dark,"15, 120, AMinor,Chords, 2,6,2,6, Dark, Minor.mid"
16,120,CMajor,Chords,"1,6,4,5",Happy,"16, 120, CMajor,Chords, 1,6,4,5, Happy, Major.mid"
17,120,CMajor,Chords,"1,4,5,6",Happy,"17, 120, CMajor,Chords, 1,4,5,6, Happy, Major.mid"
18,120,CMajor,Chords,"1,5,6,4",Happy,"18, 120, CMajor,Chords, 1,5,6,4, Happy, Major.mid"
19,120,CMajor,Chords,"1,5,4,6",Happy,"19, 120, CMajor,Chords, 1,5,4,6, Happy, Major.mid"
20,120,CMajor,Chords,"4,5,3,4",Happy,"20, 120, CMajor,Chords, 4,5,3,4, Happy, Major.mid"
