id,genre,type,bpm,bars,filename,key,style
1,trap,hihat,140,,Hi-Hats 1 - 140 Bpm @gravio.music .mid,,
2,trap,hihat,120,,Hi-Hats 2 - 120 Bpm @gravio.music.mid,,
3,trap,hihat,146,,Hi-Hats 3 - 146 Bpm @gravio.music.mid,,
4,trap,hihat,144,,Hi-Hats 4 - 144 Bpm @gravio.music.mid,,
5,trap,hihat,150,,Hi-Hats 5 - 150 Bpm @gravio.music.mid,,
6,trap,hihat,140,,Hi-Hats 6 - 140 Bpm @gravio.music.mid,,
7,trap,hihat,140,,Hi-Hats 7 - 140 Bpm @gravio.music.mid,,
8,trap,hihat,140,,Hi-Hats 8 - 140 Bpm @gravio.music.mid,,
9,trap,hihat,150,,Hi-Hats 9 - 150 Bpm - Gmin @prod.skoori.mid,Gmin,
10,trap,hihat,160,,Hi-Hats10 - 160 Bpm @gravio.music.mid,,
