id,genre,type,bpm,bars,filename,key,style
1,trap,snare,140,,Snare 1 - 140 Bpm @gravio.music.mid,,
2,trap,snare,120,,Snare 2 - 120 Bpm @gravio.music.mid,,
3,trap,snare,146,,Snare 3 - 146 Bpm @gravio.music.mid,,
4,trap,snare,144,,Snare 4 - 144 Bpm @gravio.music.mid,,
5,trap,snare,150,,Snare 5 - 150 Bpm @gravio.music.mid,,
6,trap,snare,140,,Snare 6 - 140 Bpm @gravio.music.mid,,
7,trap,snare,140,,Snare 7 - 140 Bpm @gravio.music.mid,,
8,trap,snare,150,,Snare 8 - 150 Bpm @gravio.music.mid,,
9,trap,snare,150,,snare 9 - 150 Bpm - Gmin @prod.skoori.mid,Gmin,
10,trap,snare,160,,Snare 10 - 160 Bpm @gravio.music.mid,,
